Time,FPS,CPU_ms,Memory_MB,Decisions,TargetReached
1.00,321.89,1.43,1112.00,2,False
2.00,529.89,1.64,1112.00,4,False
3.00,724.96,1.75,1111.00,5,True
4.00,787.35,1.90,1097.00,5,True
5.00,784.45,1.09,1097.00,5,True
6.01,704.31,2.42,1097.00,5,True
7.01,577.15,1.75,1096.00,5,True
8.01,678.91,1.24,1096.00,5,True
9.01,772.15,1.56,1096.00,5,True
10.01,619.57,1.22,1096.00,5,True
11.01,747.99,1.45,1096.00,5,True
12.01,767.28,1.74,1096.00,5,True
13.01,774.17,1.32,1096.00,5,True
14.01,799.33,1.10,1096.00,5,True
15.01,789.74,1.17,1096.00,5,True
16.01,772.88,1.10,1096.00,5,True
17.01,782.78,1.14,1096.00,5,True
18.01,764.82,1.18,1096.00,5,True
19.01,780.82,1.37,1096.00,5,True
20.02,795.30,1.14,1096.00,5,True
21.02,777.47,1.28,1095.00,5,True
22.02,790.75,1.10,1095.00,5,True
23.02,742.22,1.39,1095.00,5,True
24.02,771.22,1.27,1095.00,5,True
25.02,797.20,1.28,1095.00,5,True
26.02,785.33,1.22,1095.00,5,True
27.02,797.38,1.41,1095.00,5,True
28.02,722.73,1.47,1095.00,5,True
29.02,801.78,1.84,1095.00,5,True
