Time,FPS,CPU_ms,Memory_MB,Decisions,TargetReached
1.00,328.95,1.69,1117.00,8,False
2.00,576.97,1.91,1116.00,13,False
3.00,625.54,1.13,1114.00,14,True
4.00,670.40,1.33,1100.00,14,True
5.00,731.31,1.16,1100.00,14,True
6.00,694.72,1.42,1100.00,14,True
7.01,761.88,1.27,1097.00,14,True
8.01,752.33,1.16,1097.00,14,True
9.01,776.18,1.30,1097.00,14,True
10.01,762.46,1.34,1097.00,14,True
11.01,726.50,1.26,1097.00,14,True
12.01,769.35,1.15,1096.00,14,True
13.01,766.29,1.23,1096.00,14,True
14.01,791.60,1.41,1096.00,14,True
15.01,763.42,1.08,1096.00,14,True
16.01,772.19,1.33,1096.00,14,True
17.01,781.49,1.30,1096.00,14,True
18.01,753.50,1.20,1096.00,14,True
19.01,651.43,1.70,1096.00,14,True
20.02,739.36,1.26,1096.00,14,True
21.02,740.57,1.28,1096.00,14,True
22.02,719.00,1.16,1096.00,14,True
23.02,734.94,4.84,1096.00,14,True
24.02,765.39,1.20,1096.00,14,True
25.02,780.82,1.25,1096.00,14,True
26.02,764.90,1.22,1096.00,14,True
27.02,762.97,1.27,1096.00,14,True
28.02,765.73,1.19,1096.00,14,True
29.02,772.24,1.19,1096.00,14,True
