Time,FPS,CPU_ms,Memory_MB,Decisions,TargetReached
1.00,342.75,1.69,1113.00,5,False
2.00,558.37,1.76,1113.00,10,False
3.00,731.71,1.34,1112.00,12,True
4.00,724.67,1.28,1098.00,12,True
5.00,791.46,1.55,1098.00,12,True
6.00,779.31,1.33,1098.00,12,True
7.01,742.88,2.15,1096.00,12,True
8.01,713.70,1.62,1096.00,12,True
9.01,521.56,2.84,1096.00,12,True
10.01,680.46,1.79,1096.00,12,True
11.01,403.61,3.32,1096.00,12,True
12.01,406.54,2.10,1096.00,12,True
13.01,387.32,2.84,1095.00,12,True
14.05,392.67,2.44,1095.00,12,True
15.05,449.44,1.73,1095.00,12,True
16.05,577.34,1.88,1095.00,12,True
17.05,639.56,1.14,1095.00,12,True
18.05,727.83,1.09,1095.00,12,True
19.05,713.19,1.13,1095.00,12,True
20.05,741.89,1.16,1095.00,12,True
21.05,756.55,1.06,1095.00,12,True
22.05,770.66,1.13,1095.00,12,True
23.05,746.84,1.25,1095.00,12,True
24.05,777.99,1.06,1095.00,12,True
25.05,809.18,1.32,1095.00,12,True
26.05,772.46,1.07,1095.00,12,True
27.05,796.73,1.28,1095.00,12,True
28.05,746.67,1.14,1095.00,12,True
29.05,762.46,1.54,1095.00,12,True
